City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rosarito,MX,80.6,few clouds,32.33,-117.03,Hotel Festival Plaza Rosarito
3,Buala,SB,85.21,light rain,-8.14,159.59,Maringe Lagoon Lodge
9,Cabo San Lucas,MX,78.01,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
10,Kapaa,US,80.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
11,Samarai,PG,82.02,light rain,-10.62,150.67,Nuli Sapi
13,Bengkulu,ID,75.6,light rain,-3.8,102.27,Grage Hotel Bengkulu
19,Rikitea,PF,76.3,scattered clouds,-23.12,-134.97,Pension Maro'i
20,Marawi,PH,75.99,broken clouds,8.0,124.29,Derogongan Residence
23,Puerto Ayora,EC,80.6,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
26,Avarua,CK,82.4,broken clouds,-21.21,-159.78,Paradise Inn
30,Arraial Do Cabo,BR,77.0,broken clouds,-22.97,-42.03,Pousada Porto Praia
31,Auki,SB,86.2,overcast clouds,-8.77,160.7,Auki Motel
34,Atuona,PF,78.06,broken clouds,-9.8,-139.03,Villa Enata
39,Butaritari,KI,81.3,scattered clouds,3.07,172.79,Isles Sunset Lodge
49,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
55,Bathsheba,BB,75.2,broken clouds,13.22,-59.52,Atlantis Hotel
66,Labuhan,ID,79.05,overcast clouds,-6.88,112.21,bador sepret
70,Fare,PF,80.96,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
82,Grand Gaube,MU,78.01,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
91,Mogadishu,SO,78.26,overcast clouds,2.04,45.34,Hotel Juba
96,Noumea,NC,86.0,clear sky,-22.28,166.46,Hôtel Le Lagon
99,Hilo,US,82.4,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
100,Karratha,AU,88.86,few clouds,-20.74,116.85,ibis Styles Karratha
108,Finschhafen,PG,84.97,broken clouds,-6.6,147.87,Cossam Guest House
117,Conceicao Da Barra,BR,77.29,overcast clouds,-18.59,-39.73,Cricaré Praia Hotel
118,Pemangkat,ID,76.3,few clouds,1.17,108.97,Kost H.Syamsuddin
120,Isangel,VU,80.6,light rain,-19.55,169.27,Volcano Sea View Tree House
123,Cayenne,GF,80.6,broken clouds,4.93,-52.33,Hôtel Le Dronmi
124,Kariba,ZW,75.09,light rain,-16.52,28.8,Caribbea Bay Hotel
126,Acapulco,MX,86.0,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
127,El Jicaro,GT,80.6,few clouds,14.92,-89.9,Parque Central y Palacio Municipal San Cristóbal Acasaguastlán
131,Kudahuvadhoo,MV,82.8,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
136,Hithadhoo,MV,82.2,broken clouds,-0.6,73.08,Scoop Guest House
137,Faanui,PF,80.8,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
146,Kanniyakumari,IN,78.89,overcast clouds,8.08,77.57,Sparsa
152,Puerto Escondido,MX,84.2,few clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
156,Bambous Virieux,MU,78.01,shower rain,-20.34,57.76,Casa Tia Villa
157,Niquelandia,BR,76.66,few clouds,-14.47,-48.46,Hotel Suinã
158,Kahului,US,86.0,few clouds,20.89,-156.47,Maui Seaside Hotel
159,Mayumba,GA,76.89,overcast clouds,-3.43,10.66,LIKWALE LODGE
162,Hambantota,LK,78.53,overcast clouds,6.12,81.12,Bungalow 63
164,Honiara,SB,80.6,light rain,-9.43,159.95,Heritage Park Hotel
167,Alta Floresta,BR,76.87,overcast clouds,-9.88,-56.09,Floresta Amazonica Hotel
175,Alice Springs,AU,82.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
183,Guerrero Negro,MX,75.54,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
187,Ugoofaaru,MV,82.4,light rain,5.67,73.0,Ungoofaaru Inn
188,Teahupoo,PF,82.4,shower rain,-17.83,-149.27,Vanira Lodge
189,Harper,LR,78.37,light rain,4.38,-7.72,Screensaver
194,Georgetown,MY,78.8,scattered clouds,5.41,100.34,Cititel Penang
199,Hunucma,MX,80.6,broken clouds,21.02,-89.87,B&B
210,Teresopolis,BR,77.0,broken clouds,-22.41,-42.97,Hotel Santiago Centro
211,Bubaque,GW,80.83,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
217,Todos Santos,MX,75.99,clear sky,23.45,-110.22,Hotel California Todos Santos
221,Sorong,ID,80.98,overcast clouds,-0.88,131.25,The Waigo Hotel
223,Cabedelo,BR,77.0,few clouds,-6.98,-34.83,Lua Mansa Pousada
227,Bandarbeyla,SO,75.25,clear sky,9.49,50.81,JABIR HOTEL
231,Mahebourg,MU,77.0,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
232,Nicoya,CR,82.4,broken clouds,10.15,-85.45,Guayacan Real
233,Timbiqui,CO,75.06,overcast clouds,2.77,-77.67,hotel diana
235,Sumbe,AO,77.04,light rain,-11.21,13.84,Hotel Ritz Sumbe
238,Mineros,BO,87.8,broken clouds,-17.12,-63.23,Residencial Imperial
248,Guarapari,BR,75.99,light rain,-20.67,-40.5,Hotel Porto do Sol
255,Conde,BR,77.0,few clouds,-7.26,-34.91,Pousada Beija Flor
257,George Town,MY,78.8,scattered clouds,5.41,100.34,Cititel Penang
261,Dingle,PH,78.22,overcast clouds,11.0,122.67,SEGAYA PROPERTY
264,Bourail,NC,82.81,clear sky,-21.57,165.48,Nekweta
269,Boromo,BF,76.98,clear sky,11.75,-2.93,Sama Camp
274,Alofi,NU,84.2,broken clouds,-19.06,-169.92,Taloa Heights
276,Tonantins,BR,77.72,broken clouds,-2.87,-67.8,Hotel Rei Davi
277,Sao Filipe,CV,75.07,broken clouds,14.9,-24.5,Tortuga B&B
280,Kununurra,AU,77.0,light rain,-15.77,128.73,Hotel Kununurra
283,Sibolga,ID,75.88,broken clouds,1.74,98.78,Hotel Syariah CN Darussalam
288,Souillac,MU,77.0,shower rain,-20.52,57.52,Bils' Villa
290,Meulaboh,ID,76.1,overcast clouds,4.14,96.13,Kost Pria
297,Hobyo,SO,77.68,overcast clouds,5.35,48.53,Halane Hotel and Restaurent
301,Yeppoon,AU,82.4,scattered clouds,-23.13,150.73,Villa Mar Colina
304,Vila Velha,BR,75.99,thunderstorm with light rain,-20.33,-40.29,Hotel Vitória Palace
305,Puerto Ayacucho,VE,79.34,broken clouds,5.66,-67.62,Posada Turistica Manapiare
306,Barra,BR,79.74,few clouds,-11.09,-43.14,Pousada Bahia
318,Norsup,VU,80.6,moderate rain,-16.07,167.38,Nabelchel Bungalows
319,Bac Lieu,VN,76.26,clear sky,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
321,Mozarlandia,BR,81.59,scattered clouds,-14.74,-50.57,Hotel Santa Mônica
325,Bonthe,SL,79.21,scattered clouds,7.53,-12.51,Bonthe Holiday Village
327,Santa Rosa,PH,80.6,broken clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
329,Vilhena,BR,77.0,clear sky,-12.74,-60.15,Hotel Mirage
332,Barra Do Corda,BR,77.05,overcast clouds,-5.5,-45.25,Belchior Palace Hotel
335,Polewali,ID,79.34,broken clouds,-3.43,119.34,Lilianto Hotel
337,San Juan Tecuaco,GT,86.0,few clouds,14.08,-90.26,Parque de San Juan Tecuaco
346,Trairi,BR,80.64,broken clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
354,Mumford,GH,80.28,clear sky,5.26,-0.76,Spanish Villa
360,Kloulklubed,PW,78.8,overcast clouds,7.04,134.26,Storyboard Beach Resort
363,Touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
367,Bata,GQ,78.26,broken clouds,1.86,9.77,Hotel Carmen
377,Ponnani,IN,75.2,mist,10.77,75.93,Rouba Residency
379,Bom Jesus,BR,80.11,broken clouds,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
380,Port Blair,IN,81.03,overcast clouds,11.67,92.75,Welcomhotel Bay Island Port Blair
387,Ondjiva,AO,78.15,scattered clouds,-17.07,15.73,SOS Motel
390,Padang,ID,75.74,clear sky,-0.95,100.35,Mercure Padang
391,Kavieng,PG,82.08,light rain,-2.57,150.8,Nusa Island Retreat
393,Nortelandia,BR,82.42,broken clouds,-14.45,-56.8,Hotel Karysmã
396,Cap Malheureux,MU,78.01,scattered clouds,-19.98,57.61,Pereybere Hotel & Spa
399,Benguela,AO,76.82,overcast clouds,-12.58,13.41,Hotel Praia Morena
403,Caravelas,BR,77.09,broken clouds,-17.71,-39.25,Pousada dos Navegantes
405,The Valley,AI,79.0,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
406,Maldonado,UY,77.0,light rain,-34.67,-54.92,La Cimarrona
