City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,-21.36,55.77,73.4,78,0,6.93,clear sky
1,Norman Wells,CA,65.28,-126.83,35.6,74,75,8.05,broken clouds
2,Rosarito,MX,32.33,-117.03,80.6,28,20,10.29,few clouds
3,Buala,SB,-8.14,159.59,85.21,67,100,5.99,light rain
4,Cape Town,ZA,-33.93,18.42,61.0,59,0,21.92,clear sky
5,Nago,JP,26.59,127.98,68.0,94,90,11.41,overcast clouds
6,Liberty,US,31.83,-81.5,53.6,40,1,2.39,clear sky
7,Asau,RO,46.43,26.4,32.0,95,90,2.24,overcast clouds
8,Provideniya,RU,64.38,-173.3,15.8,66,0,6.71,clear sky
9,Cabo San Lucas,MX,22.89,-109.91,78.01,57,5,3.36,clear sky
10,Kapaa,US,22.08,-159.32,80.6,65,1,6.93,clear sky
11,Samarai,PG,-10.62,150.67,82.02,80,99,12.5,light rain
12,Qianan,CN,44.99,124.06,7.23,91,0,9.4,clear sky
13,Bengkulu,ID,-3.8,102.27,75.6,84,36,5.75,light rain
14,Talnakh,RU,69.49,88.4,19.4,85,90,22.37,light snow
15,Albany,US,42.6,-73.97,37.0,52,100,1.99,overcast clouds
16,Villefontaine,FR,45.61,5.15,39.2,93,75,8.05,broken clouds
17,Sitka,US,57.05,-135.33,48.2,66,90,35.57,light rain
18,Naze,JP,28.37,129.48,69.8,93,75,13.87,broken clouds
19,Rikitea,PF,-23.12,-134.97,76.3,66,30,1.9,scattered clouds
20,Marawi,PH,8.0,124.29,75.99,90,75,5.99,broken clouds
21,Tuktoyaktuk,CA,69.45,-133.04,15.8,85,20,14.99,few clouds
22,Yellowknife,CA,62.46,-114.35,19.4,92,75,9.17,broken clouds
23,Puerto Ayora,EC,-0.74,-90.35,80.6,61,20,16.11,few clouds
24,New Norfolk,AU,-42.78,147.06,61.0,55,100,1.99,light rain
25,Ploemeur,FR,47.73,-3.43,46.99,93,90,3.36,overcast clouds
26,Avarua,CK,-21.21,-159.78,82.4,78,59,9.17,broken clouds
27,Rio Grande,BR,-32.03,-52.1,73.0,82,71,3.0,light rain
28,Ushuaia,AR,-54.8,-68.3,41.0,75,75,28.86,snow
29,Port Alfred,ZA,-33.59,26.89,58.17,78,45,6.93,scattered clouds
30,Arraial Do Cabo,BR,-22.97,-42.03,77.0,88,75,3.36,broken clouds
31,Auki,SB,-8.77,160.7,86.2,58,97,2.21,overcast clouds
32,Lompoc,US,34.64,-120.46,66.2,55,1,9.17,clear sky
33,Grimshaw,CA,56.18,-117.6,35.6,69,75,10.29,broken clouds
34,Atuona,PF,-9.8,-139.03,78.06,74,82,13.51,broken clouds
35,Khatanga,RU,71.97,102.5,17.31,95,100,22.95,light snow
36,Ryotsu,JP,38.08,138.43,42.8,87,75,4.7,broken clouds
37,Riyadh,SA,24.69,46.72,64.4,77,0,3.36,clear sky
38,Nikolskoye,RU,59.7,30.79,28.99,92,90,6.71,overcast clouds
39,Butaritari,KI,3.07,172.79,81.3,79,38,14.63,scattered clouds
40,Maneadero,MX,31.72,-116.57,64.99,82,13,5.48,few clouds
41,Mar Del Plata,AR,-38.0,-57.56,64.4,63,75,8.05,broken clouds
42,Yarada,IN,17.65,83.27,69.8,94,20,2.24,mist
43,Biograd Na Moru,HR,43.94,15.45,57.99,87,75,16.11,mist
44,Nador,MA,35.17,-2.93,60.8,82,0,3.36,clear sky
45,Busselton,AU,-33.65,115.33,55.99,89,10,9.06,clear sky
46,Barrow,US,71.29,-156.79,8.6,78,90,14.99,light snow
47,Hermanus,ZA,-34.42,19.23,48.99,90,0,10.29,clear sky
48,Sayansk,RU,54.11,102.16,2.91,94,0,2.28,clear sky
49,Vaini,TO,-21.2,-175.2,80.6,78,75,12.75,broken clouds
50,Clyde River,CA,70.47,-68.59,19.4,73,75,14.99,broken clouds
51,Bredasdorp,ZA,-34.53,20.04,50.0,81,0,2.17,clear sky
52,Cortes,ES,41.94,-1.44,44.6,75,40,9.17,scattered clouds
53,Vrangel,RU,42.73,133.08,23.27,87,40,9.57,scattered clouds
54,Nanortalik,GL,60.14,-45.24,26.55,76,32,13.0,scattered clouds
55,Bathsheba,BB,13.22,-59.52,75.2,88,75,11.41,broken clouds
56,Torfyanoy,RU,58.49,49.2,13.33,96,86,4.18,overcast clouds
57,Hobart,AU,-42.88,147.33,61.0,41,75,18.34,broken clouds
58,Mataura,NZ,-46.19,168.86,53.01,71,96,14.0,overcast clouds
59,Kuopio,FI,62.89,27.68,32.0,95,75,13.87,broken clouds
60,Bluff,NZ,-46.6,168.33,53.01,71,95,14.0,light rain
61,Castro,BR,-24.79,-50.01,67.24,95,81,4.43,moderate rain
62,Lakhnadon,IN,22.6,79.6,56.43,44,20,2.37,few clouds
63,Zhigansk,RU,66.77,123.37,-4.29,92,100,19.04,light snow
64,Qaanaaq,GL,77.48,-69.36,5.38,90,100,5.82,light snow
65,Pangody,RU,65.85,74.49,10.26,95,90,11.74,overcast clouds
66,Labuhan,ID,-6.88,112.21,79.05,82,100,3.8,overcast clouds
67,Mangan,IN,27.52,88.53,57.06,48,89,5.08,light rain
68,Baruun-Urt,MN,46.68,113.28,-1.21,89,0,9.35,clear sky
69,Yasnyy,RU,51.03,59.87,0.5,94,57,10.58,broken clouds
70,Fare,PF,-16.7,-151.02,80.96,76,45,14.03,light rain
71,Bogotol,RU,56.21,89.53,2.25,94,8,4.52,clear sky
72,Faya,SA,18.39,42.45,57.2,87,0,2.75,clear sky
73,Hofn,IS,64.25,-15.21,27.86,87,99,34.61,overcast clouds
74,Chokurdakh,RU,70.63,147.92,-6.27,93,97,2.51,overcast clouds
75,Ribeira Grande,PT,38.52,-28.7,61.81,78,47,29.71,scattered clouds
76,Wagga Wagga,AU,-35.12,147.37,72.0,59,0,8.05,clear sky
77,Evensk,RU,61.95,159.23,-0.33,92,99,5.26,overcast clouds
78,Parana,AR,-31.73,-60.52,66.99,88,72,8.01,broken clouds
79,Nsanje,MW,-16.92,35.26,74.73,93,100,3.47,light rain
80,Ilulissat,GL,69.22,-51.1,8.6,65,96,23.04,overcast clouds
81,Leningradskiy,RU,69.38,178.42,-4.5,78,15,4.21,few clouds
82,Grand Gaube,MU,-20.01,57.66,78.01,85,42,5.01,scattered clouds
83,Benalla,AU,-36.55,145.98,64.0,55,43,2.24,scattered clouds
84,Jamestown,US,42.1,-79.24,34.0,86,1,13.87,clear sky
85,Vezirkopru,TR,41.14,35.45,35.6,76,40,2.24,scattered clouds
86,Pirovskoye,RU,57.63,92.27,4.15,94,99,8.12,overcast clouds
87,Pangnirtung,CA,66.15,-65.71,12.2,72,5,8.05,clear sky
88,Katsuura,JP,35.13,140.3,46.99,93,75,10.29,broken clouds
89,Tilichiki,RU,60.47,166.1,2.7,92,94,9.84,overcast clouds
90,Moose Factory,CA,51.26,-80.61,19.4,79,90,6.93,overcast clouds
91,Mogadishu,SO,2.04,45.34,78.26,80,94,15.75,overcast clouds
92,Carnarvon,AU,-24.87,113.63,69.8,73,0,14.99,clear sky
93,Maun,BW,-19.98,23.42,71.6,78,0,1.12,clear sky
94,Cidreira,BR,-30.18,-50.21,71.82,84,86,23.24,light rain
95,Tiksi,RU,71.69,128.87,-8.52,89,54,7.36,broken clouds
96,Noumea,NC,-22.28,166.46,86.0,42,0,3.36,clear sky
97,Freeport,US,40.66,-73.58,43.0,56,1,14.99,clear sky
98,Zharkent,KZ,44.16,80.0,25.61,74,99,1.83,overcast clouds
99,Hilo,US,19.73,-155.09,82.4,58,20,9.17,few clouds
100,Karratha,AU,-20.74,116.85,88.86,43,18,8.41,few clouds
101,Caohai,CN,26.87,104.28,30.72,99,100,4.05,light snow
102,Severo-Kurilsk,RU,50.68,156.12,26.31,91,88,16.35,light snow
103,Upernavik,GL,72.79,-56.15,18.75,88,100,12.84,overcast clouds
104,Joigny,FR,47.98,3.4,39.99,93,100,4.61,overcast clouds
105,Lebu,CL,-37.62,-73.65,54.68,79,0,17.98,clear sky
106,Mount Gambier,AU,-37.83,140.77,57.2,62,5,6.93,clear sky
107,Yatou,CN,37.15,122.38,34.43,84,42,10.49,scattered clouds
108,Finschhafen,PG,-6.6,147.87,84.97,62,79,3.74,broken clouds
109,Yanliang,CN,34.66,109.23,33.8,69,90,11.18,overcast clouds
110,Fortuna,US,40.6,-124.16,57.99,76,19,1.01,few clouds
111,Tasiilaq,GL,65.61,-37.64,21.2,79,100,9.17,overcast clouds
112,Gamboula,CF,4.12,15.14,71.19,41,71,1.41,broken clouds
113,Ketchikan,US,55.34,-131.65,50.0,46,1,13.87,clear sky
114,Hami,CN,42.8,93.45,15.67,82,0,1.99,clear sky
115,Asfi,MA,32.3,-9.24,65.41,69,100,6.24,overcast clouds
116,Punta Arenas,CL,-53.15,-70.92,46.4,76,40,34.45,light rain
117,Conceicao Da Barra,BR,-18.59,-39.73,77.29,83,97,9.46,overcast clouds
118,Pemangkat,ID,1.17,108.97,76.3,89,18,5.5,few clouds
119,Batagay,RU,67.63,134.63,-18.4,85,93,4.47,overcast clouds
120,Isangel,VU,-19.55,169.27,80.6,78,90,7.78,light rain
121,Dimitrovgrad,RU,54.21,49.62,10.4,92,90,2.24,overcast clouds
122,Dabola,GN,10.75,-11.12,74.28,36,40,1.52,scattered clouds
123,Cayenne,GF,4.93,-52.33,80.6,83,75,8.05,broken clouds
124,Kariba,ZW,-16.52,28.8,75.09,84,100,2.01,light rain
125,Teya,RU,60.38,92.63,6.67,91,100,9.57,overcast clouds
126,Acapulco,MX,16.86,-99.89,86.0,70,40,5.82,scattered clouds
127,El Jicaro,GT,14.92,-89.9,80.6,54,20,9.17,few clouds
128,Uyuni,BO,-20.46,-66.83,64.35,20,4,8.63,clear sky
129,Narsaq,GL,60.92,-46.05,14.0,43,2,8.81,clear sky
130,Antofagasta,CL,-23.65,-70.4,64.4,72,20,16.11,few clouds
131,Kudahuvadhoo,MV,2.67,72.89,82.8,77,100,17.92,overcast clouds
132,Port Elizabeth,ZA,-33.92,25.57,55.4,87,40,4.7,scattered clouds
133,Ahipara,NZ,-35.17,173.17,64.63,75,43,10.02,scattered clouds
134,Mayo,US,38.89,-76.51,46.4,39,1,5.82,clear sky
135,Puri,IN,19.8,85.85,64.4,93,82,6.35,mist
136,Hithadhoo,MV,-0.6,73.08,82.2,79,76,19.3,broken clouds
137,Faanui,PF,-16.48,-151.75,80.8,76,78,13.4,light rain
138,Atar,MR,20.52,-13.05,69.69,40,47,1.54,scattered clouds
139,Blackfoot,US,43.19,-112.34,35.6,51,20,5.82,few clouds
140,East London,ZA,-33.02,27.91,60.57,74,34,6.89,scattered clouds
