City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Margate,GB,2020-11-30 19:45:11,51.38,1.39,48.99,87,97,5.99
1,Mataura,NZ,2020-11-30 19:45:11,-46.19,168.86,50.0,81,38,4.0
2,Amboise,FR,2020-11-30 19:40:47,47.41,0.98,37.4,86,100,5.82
3,Yellowknife,CA,2020-11-30 19:42:51,62.46,-114.35,17.6,100,90,12.75
4,Punta Arenas,CL,2020-11-30 19:42:05,-53.15,-70.92,57.2,47,75,47.2
5,Ushuaia,AR,2020-11-30 19:40:34,-54.8,-68.3,50.0,61,75,28.86
6,Luderitz,NA,2020-11-30 19:45:12,-26.65,15.16,62.6,67,0,14.99
7,Magadan,RU,2020-11-30 19:45:12,59.57,150.8,17.13,91,99,6.51
8,Rikitea,PF,2020-11-30 19:40:14,-23.12,-134.97,75.67,76,1,10.0
9,Katsuyama,JP,2020-11-30 19:45:12,36.06,136.5,42.8,93,75,2.24
10,Kapaa,US,2020-11-30 19:45:12,22.08,-159.32,78.8,65,75,6.93
11,Salalah,OM,2020-11-30 19:45:12,17.02,54.09,78.8,78,75,4.7
12,Vaini,TO,2020-11-30 19:40:48,-21.2,-175.2,77.0,78,20,4.7
13,Dikson,RU,2020-11-30 19:45:12,73.51,80.55,30.15,99,99,16.42
14,Kachiry,KZ,2020-11-30 19:45:13,53.07,76.1,-1.68,91,0,3.49
15,Hobart,AU,2020-11-30 19:44:26,-42.88,147.33,64.0,63,75,11.41
16,Pasighat,IN,2020-11-30 19:45:13,28.07,95.33,60.33,50,0,3.58
17,Chingirlau,KZ,2020-11-30 19:45:13,51.09,54.08,10.42,94,0,10.51
18,Lebu,CL,2020-11-30 19:40:20,-37.62,-73.65,56.46,69,0,23.44
19,Bluff,NZ,2020-11-30 19:45:13,-46.6,168.33,50.0,81,85,4.0
20,Werl,DE,2020-11-30 19:45:13,51.55,7.92,37.99,90,100,13.27
21,Juarez,MX,2020-11-30 19:42:58,31.73,-106.48,50.0,34,5,8.05
22,Ajdabiya,LY,2020-11-30 19:45:13,30.76,20.23,65.12,71,4,16.53
23,New Norfolk,AU,2020-11-30 19:45:14,-42.78,147.06,63.0,58,100,3.0
24,Bengkulu,ID,2020-11-30 19:40:32,-3.8,102.27,74.8,86,93,5.14
25,Aberdeen,GB,2020-11-30 19:45:14,57.14,-2.1,42.8,87,75,13.87
26,Severodvinsk,RU,2020-11-30 19:45:14,64.56,39.83,30.2,92,90,8.95
27,Ust-Tsilma,RU,2020-11-30 19:45:14,65.44,52.15,29.43,96,100,11.01
28,Saskylakh,RU,2020-11-30 19:45:14,71.92,114.08,16.02,94,100,22.77
29,Tommot,RU,2020-11-30 19:45:14,58.96,126.29,1.49,90,99,7.99
30,Talnakh,RU,2020-11-30 19:45:15,69.49,88.4,17.6,92,90,22.37
31,Tilichiki,RU,2020-11-30 19:45:15,60.47,166.1,-5.1,95,40,9.46
32,Hami,CN,2020-11-30 19:45:15,42.8,93.45,22.96,89,100,1.7
33,Dryden,CA,2020-11-30 19:45:15,49.78,-92.75,17.6,78,40,10.29
34,Vardo,NO,2020-11-30 19:45:15,70.37,31.11,33.8,80,75,53.02
35,Hilo,US,2020-11-30 19:42:57,19.73,-155.09,75.99,64,1,2.55
36,Port Alfred,ZA,2020-11-30 19:45:15,-33.59,26.89,63.05,78,28,11.86
37,Busselton,AU,2020-11-30 19:45:15,-33.65,115.33,46.99,94,56,5.1
38,San Miguel De Cauri,PE,2020-11-30 19:45:16,-10.1,-76.58,55.6,58,99,7.27
39,Cape Town,ZA,2020-11-30 19:45:16,-33.93,18.42,62.6,77,75,9.17
40,Vila Franca Do Campo,PT,2020-11-30 19:45:16,37.72,-25.43,59.0,77,40,18.34
41,Amuntai,ID,2020-11-30 19:45:16,-2.42,115.25,73.13,97,100,0.6
42,Nanortalik,GL,2020-11-30 19:45:16,60.14,-45.24,30.2,98,100,9.24
43,Buedu,SL,2020-11-30 19:45:16,8.28,-10.37,72.23,93,83,1.7
44,Butaritari,KI,2020-11-30 19:45:16,3.07,172.79,82.78,77,17,19.24
45,Nikolskoye,RU,2020-11-30 19:45:17,59.7,30.79,32.0,92,90,4.47
46,Sundsvall,SE,2020-11-30 19:45:17,62.39,17.31,30.0,92,100,2.24
47,Mount Isa,AU,2020-11-30 19:43:31,-20.73,139.5,82.4,51,23,9.64
48,Betera,ES,2020-11-30 19:45:17,39.58,-0.45,57.0,93,0,5.82
49,Puerto Ayora,EC,2020-11-30 19:45:17,-0.74,-90.35,77.0,65,75,4.7
50,Katangli,RU,2020-11-30 19:45:17,51.71,143.23,12.6,85,100,13.6
51,Georgetown,MY,2020-11-30 19:45:18,5.41,100.34,80.6,78,20,4.92
52,Envira,BR,2020-11-30 19:45:18,-7.3,-70.22,92.34,46,65,1.14
53,Saint George,US,2020-11-30 19:42:11,37.1,-113.58,57.0,24,1,2.93
54,Thompson,CA,2020-11-30 19:45:18,55.74,-97.86,15.8,85,75,8.05
55,Dicabisagan,PH,2020-11-30 19:45:18,17.08,122.42,74.59,83,97,16.24
56,Jining,CN,2020-11-30 19:45:18,35.41,116.58,35.94,76,95,4.45
57,Severo-Yeniseyskiy,RU,2020-11-30 19:45:18,60.37,93.04,1.65,94,100,4.36
58,Two Rivers,US,2020-11-30 19:45:18,44.15,-87.57,30.0,74,90,14.99
59,Hasaki,JP,2020-11-30 19:45:19,35.73,140.83,41.0,93,20,4.7
60,Ancud,CL,2020-11-30 19:45:19,-41.87,-73.82,59.0,58,75,4.7
61,Poso,ID,2020-11-30 19:45:19,-1.4,120.75,79.0,78,96,2.1
62,Porto Novo,BJ,2020-11-30 19:45:19,6.5,2.6,84.2,79,20,11.41
